"#","Reel","Match","V","C","Dur","Source In","Source Out","Record Duration","Record In","Record Out","Name","Comments","Source Start","Source End","Source Duration","Codec","Source FPS","Resolution","Color","Notes","EDL Clip Name","Marker Keywords"
"1","","","","C","","00:00:02:09","00:00:02:29","00:00:00:20","00:00:02:09","00:00:02:29","","","","","","","0.000","","Blue","Απόλλωνας","",""
"2","","","","C","","00:00:03:24","00:00:04:01","00:00:00:07","00:00:03:24","00:00:04:01","","","","","","","0.000","","Blue","Απόλλωνας","",""
"3","","","","C","","00:00:08:21","00:00:09:05","00:00:00:14","00:00:08:21","00:00:09:05","","","","","","","0.000","","Blue","Δεξής Κένταυρος","",""
"4","","","","C","","00:00:10:15","00:00:11:18","00:00:01:03","00:00:10:15","00:00:11:18","","","","","","","0.000","","Blue","Απόλλωνας","",""
"5","","","","C","","00:00:14:01","00:00:16:22","00:00:02:21","00:00:14:01","00:00:16:22","","","","","","","0.000","","Blue","Απόλλωνας","",""
"6","","","","C","","00:00:17:03","00:00:21:01","00:00:03:28","00:00:17:03","00:00:21:01","","","","","","","0.000","","Blue","Απόλλωνας","",""
"7","","","","C","","00:00:22:29","00:00:25:25","00:00:02:26","00:00:22:29","00:00:25:25","","","","","","","0.000","","Blue","Κένταυροι-Μεση Κενταύρων και κάτω-Δεξής Κένταυρος","",""
"8","","","","C","","00:00:26:01","00:00:27:18","00:00:01:17","00:00:26:01","00:00:27:18","","","","","","","0.000","","Blue","Απόλλωνας","",""
"9","","","","C","","00:00:28:27","00:00:29:08","00:00:00:11","00:00:28:27","00:00:29:08","","","","","","","0.000","","Blue","Κένταυροι-Μεση Κενταύρων και κάτω-Δεξής Κένταυρος","",""
"10","","","","C","","00:00:34:16","00:00:35:28","00:00:01:12","00:00:34:16","00:00:35:28","","","","","","","0.000","","Blue","Κένταυροι-Μεση Κενταύρων και κάτω-Δεξής Κένταυρος","",""
"11","","","","C","","00:00:38:12","00:00:38:29","00:00:00:17","00:00:38:12","00:00:38:29","","","","","","","0.000","","Blue","Κένταυροι-Μεση Κενταύρων και κάτω-Δεξής Κένταυρος","",""
"12","","","","C","","00:00:49:11","00:00:50:11","00:00:01:00","00:00:49:11","00:00:50:11","","","","","","","0.000","","Blue","Απόλλωνας","",""
"13","","","","C","","00:00:52:03","00:00:54:23","00:00:02:20","00:00:52:03","00:00:54:23","","","","","","","0.000","","Blue","Κένταυροι-Μεση Κενταύρων και κάτω-Δεξής Κένταυρος","",""
"14","","","","C","","00:01:00:06","00:01:00:16","00:00:00:10","00:01:00:06","00:01:00:16","","","","","","","0.000","","Blue","Κένταυροι-Μεση Κενταύρων και κάτω-Δεξής Κένταυρος","",""
"15","","","","C","","00:01:03:22","00:01:05:25","00:00:02:03","00:01:03:22","00:01:05:25","","","","","","","0.000","","Blue","Απόλλωνας","",""
"16","","","","C","","00:01:11:07","00:01:13:11","00:00:02:04","00:01:11:07","00:01:13:11","","","","","","","0.000","","Blue","Απόλλωνας","",""
"17","","","","C","","00:01:18:13","00:01:19:13","00:00:01:00","00:01:18:13","00:01:19:13","","","","","","","0.000","","Blue","Απόλλωνας","",""
"18","","","","C","","00:01:19:16","00:01:20:05","00:00:00:19","00:01:19:16","00:01:20:05","","","","","","","0.000","","Blue","Δεξιά άνδρας-Βασιλιάς Λαπιθών","",""
"19","","","","C","","00:01:20:06","00:01:21:12","00:00:01:06","00:01:20:06","00:01:21:12","","","","","","","0.000","","Blue","Απόλλωνας","",""
"20","","","","C","","00:01:21:12","00:01:22:01","00:00:00:19","00:01:21:12","00:01:22:01","","","","","","","0.000","","Blue","Δεξιά άνδρας-Βασιλιάς Λαπιθών","",""
"21","","","","C","","00:01:22:02","00:01:22:13","00:00:00:11","00:01:22:02","00:01:22:13","","","","","","","0.000","","Blue","Απόλλωνας","",""
"22","","","","C","","00:01:34:15","00:01:34:21","00:00:00:06","00:01:34:15","00:01:34:21","","","","","","","0.000","","Blue","Κένταυροι-Μεση Κενταύρων και κάτω-Δεξής Κένταυρος","",""
"23","","","","C","","00:01:39:05","00:01:40:11","00:00:01:06","00:01:39:05","00:01:40:11","","","","","","","0.000","","Blue","Απόλλωνας","",""
"24","","","","C","","00:01:41:03","00:01:42:18","00:00:01:15","00:01:41:03","00:01:42:18","","","","","","","0.000","","Blue","Απόλλωνας","",""
