"#","Reel","Match","V","C","Dur","Source In","Source Out","Record Duration","Record In","Record Out","Name","Comments","Source Start","Source End","Source Duration","Codec","Source FPS","Resolution","Color","Notes","EDL Clip Name","Marker Keywords"
"1","","","","C","","00:00:01:05","00:00:02:26","00:00:01:21","00:00:01:05","00:00:02:26","","","","","","","0.000","","Blue","Δεξιά-Πέριθους","",""
"2","","","","C","","00:00:07:03","00:00:08:11","00:00:01:08","00:00:07:03","00:00:08:11","","","","","","","0.000","","Blue","Δεξιά-Πέριθους","",""
"3","","","","C","","00:00:09:12","00:00:28:20","00:00:19:08","00:00:09:12","00:00:28:20","","","","","","","0.000","","Blue","Κέντρο-Απόλλων","",""
"4","","","","C","","00:00:31:12","00:00:32:03","00:00:00:21","00:00:31:12","00:00:32:03","","","","","","","0.000","","Blue","Δεξιά-Πέριθους","",""
"5","","","","C","","00:00:34:16","00:00:38:03","00:00:03:17","00:00:34:16","00:00:38:03","","","","","","","0.000","","Blue","Κέντρο-Απόλλων","",""
"6","","","","C","","00:00:42:24","00:00:43:27","00:00:01:03","00:00:42:24","00:00:43:27","","","","","","","0.000","","Blue","Κέντρο-Απόλλων","",""
"7","","","","C","","00:00:45:29","00:00:51:26","00:00:05:27","00:00:45:29","00:00:51:26","","","","","","","0.000","","Blue","Κέντρο-Απόλλων","",""
"8","","","","C","","00:00:57:29","00:01:02:02","00:00:04:03","00:00:57:29","00:01:02:02","","","","","","","0.000","","Blue","Marker 8","",""
"9","","","","C","","00:01:07:08","00:01:12:02","00:00:04:24","00:01:07:08","00:01:12:02","","","","","","","0.000","","Blue","Κέντρο-Απόλλων","",""
"10","","","","C","","00:01:17:08","00:01:21:05","00:00:03:27","00:01:17:08","00:01:21:05","","","","","","","0.000","","Blue","Marker 10","",""
"11","","","","C","","00:01:26:03","00:01:31:11","00:00:05:08","00:01:26:03","00:01:31:11","","","","","","","0.000","","Blue","Θησέας","",""
"12","","","","C","","00:01:31:23","00:01:34:24","00:00:03:01","00:01:31:23","00:01:34:24","","","","","","","0.000","","Blue","Κέντρο-Απόλλων-Αριστερό Χέρι","",""
"13","","","","C","","00:01:35:19","00:01:39:24","00:00:04:05","00:01:35:19","00:01:39:24","","","","","","","0.000","","Blue","Κέντραυροι","",""
"14","","","","C","","00:01:49:08","00:01:55:03","00:00:05:25","00:01:49:08","00:01:55:03","","","","","","","0.000","","Blue","Κέντρο-Απόλλων","",""
"15","","","","C","","00:01:56:15","00:01:56:25","00:00:00:10","00:01:56:15","00:01:56:25","","","","","","","0.000","","Blue","Κέντραυροι","",""
