"#","Reel","Match","V","C","Dur","Source In","Source Out","Record Duration","Record In","Record Out","Name","Comments","Source Start","Source End","Source Duration","Codec","Source FPS","Resolution","Color","Notes","EDL Clip Name","Marker Keywords"
"1","","","","C","","00:00:09:19","00:00:12:19","00:00:03:00","00:00:09:19","00:00:12:19","","","","","","","0.000","","Blue","Τρίγωνο κάτω από την στέγη","",""
"2","","","","C","","00:00:36:10","00:00:37:05","00:00:00:19","00:00:36:10","00:00:37:05","","","","","","","0.000","","Blue","Κέντραυροι","",""
"3","","","","C","","00:00:45:20","00:00:46:22","00:00:01:02","00:00:45:20","00:00:46:22","","","","","","","0.000","","Blue","Λαπιθίδες","",""
"4","","","","C","","00:00:50:18","00:00:51:19","00:00:01:01","00:00:50:18","00:00:51:19","","","","","","","0.000","","Blue","Συμπλέγματα","",""
"5","","","","C","","00:00:54:01","00:01:06:01","00:00:12:00","00:00:54:01","00:01:06:01","","","","","","","0.000","","Blue","Κέντρο-Απόλλων-Τόξο","",""
"6","","","","C","","00:01:04:17","00:01:06:01","00:00:01:08","00:01:04:17","00:01:06:01","","","","","","","0.000","","Blue","Κέντρο-Απόλλων-Αριστερό Χέρι","",""
"7","","","","C","","00:01:06:03","00:01:09:06","00:00:03:03","00:01:06:03","00:01:09:06","","","","","","","0.000","","Blue","Κέντρο-Απόλλων-Εγκοπες","",""
"8","","","","C","","00:01:06:09","00:01:09:05","00:00:02:20","00:01:06:09","00:01:09:05","","","","","","","0.000","","Blue","Κέντρο-Απόλλων-Εγκοπες","",""
"9","","","","C","","00:01:10:02","00:01:20:00","00:00:09:22","00:01:10:02","00:01:20:00","","","","","","","0.000","","Blue","Δεξιά-Πέριθους","",""
"10","","","","C","","00:01:12:17","00:01:16:00","00:00:03:07","00:01:12:17","00:01:16:00","","","","","","","0.000","","Blue","Ευρυτίωνας","",""
"11","","","","C","","00:01:16:03","00:01:19:18","00:00:03:15","00:01:16:03","00:01:19:18","","","","","","","0.000","","Blue","Δηιδάμεια","",""
"12","","","","C","","00:01:20:00","00:01:25:21","00:00:05:21","00:01:20:00","00:01:25:21","","","","","","","0.000","","Blue","Θησέας","",""
"13","","","","C","","00:01:26:02","00:01:33:08","00:00:07:06","00:01:26:02","00:01:33:08","","","","","","","0.000","","Blue","Λαπιθίδα","",""
"14","","","","C","","00:01:38:19","00:01:44:12","00:00:05:17","00:01:38:19","00:01:44:12","","","","","","","0.000","","Blue","Δεξί χέρι Απόλλωνα","",""
"15","","","","C","","00:01:42:15","00:01:44:06","00:00:01:15","00:01:42:15","00:01:44:06","","","","","","","0.000","","Blue","Ώμος πέριθου","",""
