"#","Reel","Match","V","C","Dur","Source In","Source Out","Record Duration","Record In","Record Out","Name","Comments","Source Start","Source End","Source Duration","Codec","Source FPS","Resolution","Color","Notes","EDL Clip Name","Marker Keywords"
"1","","","","C","","00:00:04:16","00:00:08:11","00:00:03:19","00:00:04:16","00:00:08:11","","","","","","","0.000","","Blue","Αέτωμα/στέγη ναού","",""
"2","","","","C","","00:00:09:10","00:00:12:07","00:00:02:21","00:00:09:10","00:00:12:07","","","","","","","0.000","","Blue","Κένταυροι","",""
"3","","","","C","","00:00:12:07","00:00:13:09","00:00:01:02","00:00:12:07","00:00:13:09","","","","","","","0.000","","Blue","Λαπίθες","",""
"4","","","","C","","00:00:15:14","00:00:18:12","00:00:02:22","00:00:15:14","00:00:18:12","","","","","","","0.000","","Blue","Μεση Κενταύρων και κάτω","",""
"5","","","","C","","00:00:18:11","00:00:20:16","00:00:02:05","00:00:18:11","00:00:20:16","","","","","","","0.000","","Blue","Μέση Κενταύρων και πάνω","",""
"6","","","","C","","00:00:40:21","00:00:49:18","00:00:08:21","00:00:40:21","00:00:49:18","","","","","","","0.000","","Blue","Απόλλωνας","",""
"7","","","","C","","00:00:49:21","00:00:55:14","00:00:05:17","00:00:49:21","00:00:55:14","","","","","","","0.000","","Blue","Δεξί χέρι Απόλλωνα","",""
"8","","","","C","","00:00:55:22","00:00:59:06","00:00:03:08","00:00:55:22","00:00:59:06","","","","","","","0.000","","Blue","Κεφάλι Απόλλωνα","",""
"9","","","","C","","00:00:59:16","00:01:04:09","00:00:04:17","00:00:59:16","00:01:04:09","","","","","","","0.000","","Blue","Δεξής Κένταυρος-Αριστερός Κένταυρος","",""
"10","","","","C","","00:01:04:19","00:01:07:04","00:00:02:09","00:01:04:19","00:01:07:04","","","","","","","0.000","","Blue","Αριστερή γυναίκα-Δεξιά γυναίκα","",""
"11","","","","C","","00:01:07:13","00:01:11:14","00:00:04:01","00:01:07:13","00:01:11:14","","","","","","","0.000","","Blue","Δεξιά άνδρας-Βασιλιάς Λαπιθών -Αριστερά άνδρας","",""
"12","","","","C","","00:01:12:05","00:01:16:20","00:00:04:15","00:01:12:05","00:01:16:20","","","","","","","0.000","","Blue","Αριστερά άνδρας","",""
"13","","","","C","","00:01:17:09","00:01:25:07","00:00:07:22","00:01:17:09","00:01:25:07","","","","","","","0.000","","Blue","Δεξιά άνδρας-Βασιλιάς Λαπιθών","",""
"14","","","","C","","00:01:25:12","00:01:27:23","00:00:02:11","00:01:25:12","00:01:27:23","","","","","","","0.000","","Blue","Δεξιά γυναίκα","",""
"15","","","","C","","00:01:28:00","00:01:30:19","00:00:02:19","00:01:28:00","00:01:30:19","","","","","","","0.000","","Blue","Δεξής Κένταυρος","",""
